1000 11
A	B	C	D	E	F	G	H	I	J	Class
r	s	ag	ah	o	r	p	ak	aa	d	c9
s	ax	aj	g	ao	t	q	ah	m	r	c3
t	w	ac	k	d	ar	ac	c	y	d	c7
m	a	c	x	ak	v	aq	ag	y	ah	c8
f	am	h	m	as	t	i	ak	am	t	c6
i	ae	e	a	l	p	ag	c	as	n	c10
p	r	o	ag	ag	n	aw	g	r	h	c4
t	w	ac	al	i	ai	z	c	y	am	c7
m	a	c	p	ak	p	aq	i	at	k	c8
af	al	x	b	aa	x	n	ap	j	ae	c5
i	ae	l	ah	f	p	ag	p	e	n	c10
ac	al	x	b	d	x	aq	a	s	ae	c5
w	r	o	ax	k	l	u	g	r	h	c4
m	a	c	t	ak	aq	aq	y	s	ab	c8
i	ae	ak	ak	k	p	ag	al	o	n	c10
t	w	ac	p	y	aa	af	c	y	x	c7
aj	al	ax	l	h	ar	ac	g	b	m	c1
m	a	c	al	ak	e	aq	w	am	ag	c8
aj	al	o	ah	h	ab	k	g	al	m	c1
t	w	ac	p	u	d	ah	c	y	ae	c7
m	a	c	l	ak	m	aq	af	aa	av	c8
d	am	h	o	ad	t	as	ak	am	u	c6
m	a	c	r	ak	af	aq	w	r	al	c8
f	am	h	x	ah	t	ab	ak	am	ax	c6
aj	al	a	k	h	i	as	g	x	m	c1
au	s	ag	ah	am	r	af	ak	n	u	c9
aj	al	am	m	h	ai	ao	g	ab	m	c1
aj	al	at	ae	h	aw	m	g	al	m	c1
t	w	ac	p	aj	c	am	c	y	v	c7
aj	ax	x	b	ao	i	q	ah	k	r	c3
t	s	ag	ah	n	r	ab	ak	an	f	c9
an	ax	al	s	ao	s	q	ah	ae	r	c3
au	r	o	v	ar	ad	ar	g	r	h	c4
i	ae	au	n	p	p	ag	b	ac	n	c10
ak	al	x	b	r	x	ah	d	am	ae	c5
m	a	c	x	ak	n	aq	v	u	b	c8
m	a	c	j	ak	e	aq	am	ag	t	c8
ac	am	h	at	as	t	g	ak	am	d	c6
w	al	x	b	v	x	v	k	s	ae	c5
a	c	ac	i	al	v	at	at	q	z	c2
i	ae	d	x	aw	p	ag	at	u	n	c10
aj	s	ag	ah	z	r	aa	ak	aq	l	c9
ap	al	x	b	as	x	ae	ae	w	ae	c5
t	w	ac	o	ak	k	v	c	y	v	c7
ad	ax	p	r	ao	x	q	ah	ak	r	c3
i	al	x	b	ah	x	f	t	at	ae	c5
k	al	x	b	r	x	s	y	i	ae	c5
v	ax	u	ar	ao	l	q	ah	at	r	c3
ac	ax	r	av	ao	au	q	ah	l	r	c3
d	r	o	ae	aw	ab	t	g	r	h	c4
j	s	ag	ah	d	r	ah	ak	i	m	c9
ah	al	x	b	ax	x	x	s	u	ae	c5
z	r	o	am	ao	t	af	g	r	h	c4
n	s	ag	ah	ac	r	ae	ak	r	ac	c9
e	c	ae	y	al	au	at	s	q	z	c2
m	a	c	p	ak	f	aq	e	aa	ac	c8
ag	ax	aw	j	ao	c	q	ah	ap	r	c3
ah	al	x	b	t	x	v	ah	af	ae	c5
w	al	x	b	ae	x	ae	j	y	ae	c5
aj	al	e	ac	h	v	l	g	n	m	c1
t	c	w	a	al	v	at	c	q	z	c2
m	a	c	as	ak	q	aq	j	ax	ah	c8
i	ae	m	l	j	p	ag	q	ak	n	c10
h	c	aq	t	al	m	at	at	q	z	c2
s	ax	k	ap	ao	b	q	ah	m	r	c3
i	ae	ar	aw	ai	p	ag	ar	af	n	c10
i	ae	ao	g	ab	p	ag	ap	y	n	c10
r	am	h	au	e	t	aj	ak	am	j	c6
m	a	c	y	ak	au	aq	ai	ac	ah	c8
aj	al	al	y	h	aq	i	g	as	m	c1
w	ax	z	u	ao	ai	q	ah	f	r	c3
t	w	ac	ah	k	l	n	c	y	av	c7
ak	ax	g	af	ao	b	q	ah	u	r	c3
g	s	ag	ah	n	r	ax	ak	an	aj	c9
al	am	h	q	o	t	as	ak	am	aj	c6
i	ae	ah	ag	f	p	ag	aw	v	n	c10
i	ae	b	an	ar	p	ag	i	af	n	c10
am	c	ak	h	al	c	at	o	q	z	c2
m	a	c	l	ak	aq	aq	au	ab	ai	c8
m	c	au	aa	al	al	at	al	q	z	c2
i	ax	f	b	ao	m	q	ah	ar	r	c3
at	am	h	ai	ae	t	ab	ak	am	ah	c6
y	c	q	a	al	aq	at	ax	q	z	c2
aa	al	x	b	al	x	i	aa	o	ae	c5
m	a	c	ar	ak	k	aq	n	d	t	c8
t	w	ac	g	n	n	c	c	y	at	c7
ah	s	ag	ah	m	r	h	ak	r	ah	c9
ax	s	ag	ah	v	r	ab	ak	v	j	c9
aj	al	an	aq	h	av	af	g	am	m	c1
z	r	o	ar	j	ak	ak	g	r	h	c4
y	s	ag	ah	ao	r	w	ak	ak	r	c9
z	r	o	aj	y	as	s	g	r	h	c4
i	ae	ac	v	n	p	ag	a	au	n	c10
t	w	ac	ae	aj	g	n	c	y	ac	c7
i	ae	a	al	n	p	ag	an	c	n	c10
ae	r	o	ah	as	am	ao	g	r	h	c4
t	w	ac	aw	ag	b	n	c	y	ak	c7
at	c	ar	ae	al	e	at	b	q	z	c2
t	al	x	b	ab	x	x	h	v	ae	c5
aj	al	ao	c	h	j	ad	g	k	m	c1
aw	c	g	aq	al	c	at	o	q	z	c2
aj	al	j	al	h	j	ax	g	n	m	c1
y	r	o	n	h	ag	j	g	r	h	c4
t	w	ac	a	ai	d	v	c	y	aq	c7
b	al	x	b	ai	x	au	ax	ap	ae	c5
ae	s	ag	ah	ad	r	d	ak	j	m	c9
x	c	ag	n	al	s	at	o	q	z	c2
g	am	h	c	ax	t	m	ak	am	an	c6
ar	c	ar	ar	al	i	at	d	q	z	c2
i	r	o	ai	au	aa	ae	g	r	h	c4
u	r	o	y	k	ag	ap	g	r	h	c4
i	ae	ax	ao	m	p	ag	ad	u	n	c10
i	ae	aw	aj	ac	p	ag	ap	v	n	c10
ad	al	x	b	ae	x	l	b	m	ae	c5
aj	al	ar	g	h	aa	h	g	ag	m	c1
i	ae	b	av	at	p	ag	o	ag	n	c10
m	ax	o	n	ao	aw	q	ah	w	r	c3
i	ae	aa	al	h	p	ag	al	aw	n	c10
t	w	ac	s	d	l	ap	c	y	u	c7
i	ae	at	b	ai	p	ag	w	i	n	c10
ag	am	h	ah	h	t	ax	ak	am	av	c6
ag	ax	h	h	ao	aj	q	ah	x	r	c3
av	r	o	s	i	aa	af	g	r	h	c4
ap	ax	a	o	ao	z	q	ah	p	r	c3
i	ae	i	ax	ah	p	ag	aa	an	n	c10
aq	ax	ac	aq	ao	an	q	ah	au	r	c3
i	ae	l	af	s	p	ag	s	av	n	c10
al	r	o	at	v	g	h	g	r	h	c4
at	s	ag	ah	av	r	h	ak	h	as	c9
ak	al	x	b	an	x	at	f	f	ae	c5
aj	c	af	b	al	k	at	j	q	z	c2
g	c	ar	e	al	i	at	as	q	z	c2
aj	al	ag	ar	h	ar	i	g	ak	m	c1
m	am	h	i	c	t	g	ak	am	y	c6
aj	al	av	t	h	c	q	g	l	m	c1
aj	al	o	s	h	ap	al	g	t	m	c1
t	w	ac	aw	d	at	h	c	y	y	c7
p	ax	aj	v	ao	u	q	ah	aj	r	c3
aj	al	w	ah	h	ag	aj	g	n	m	c1
i	ae	y	aj	j	p	ag	e	af	n	c10
t	w	ac	n	z	aq	as	c	y	ao	c7
i	ae	an	n	b	p	ag	ao	m	n	c10
k	am	h	y	an	t	at	ak	am	ax	c6
at	r	o	m	av	v	au	g	r	h	c4
j	s	ag	ah	aq	r	t	ak	as	w	c9
aj	al	v	ae	h	l	ab	g	p	m	c1
as	r	o	i	al	ar	ar	g	r	h	c4
e	al	x	b	aj	x	am	ab	an	ae	c5
an	am	h	ar	x	t	q	ak	am	ar	c6
i	ae	y	w	au	p	ag	e	aa	n	c10
m	a	c	w	ak	r	aq	y	g	ae	c8
m	a	c	f	ak	t	aq	g	z	p	c8
m	a	c	x	ak	x	aq	v	ao	aq	c8
m	a	c	j	ak	ae	aq	t	ad	e	c8
b	al	x	b	ah	x	ac	ac	a	ae	c5
aj	al	ar	u	h	al	n	g	i	m	c1
i	ax	ad	ao	ao	aq	q	ah	f	r	c3
g	s	ag	ah	ar	r	ar	ak	l	a	c9
l	r	o	an	ar	af	q	g	r	h	c4
t	w	ac	p	s	c	q	c	y	z	c7
z	al	x	b	f	x	p	n	v	ae	c5
an	c	ao	ah	al	aq	at	p	q	z	c2
ah	al	x	b	af	x	o	ax	u	ae	c5
aj	al	w	ax	h	ai	d	g	h	m	c1
aj	am	h	p	am	t	at	ak	am	v	c6
t	w	ac	ax	ah	am	f	c	y	u	c7
u	c	aw	al	al	p	at	aj	q	z	c2
aj	al	an	i	h	m	af	g	ag	m	c1
i	ae	p	ag	aw	p	ag	af	s	n	c10
c	ax	am	ap	ao	at	q	ah	ap	r	c3
h	ax	au	am	ao	aj	q	ah	w	r	c3
aj	al	aa	l	h	q	aj	g	ab	m	c1
ai	ax	y	ak	ao	f	q	ah	s	r	c3
aj	al	aw	l	h	y	p	g	d	m	c1
u	s	ag	ah	ar	r	au	ak	m	t	c9
i	ae	y	i	d	p	ag	aj	c	n	c10
l	ax	ae	w	ao	ac	q	ah	ar	r	c3
ak	s	ag	ah	t	r	c	ak	l	ac	c9
s	r	o	a	aj	af	al	g	r	h	c4
p	am	h	ak	ax	t	a	ak	am	f	c6
n	ax	ap	w	ao	s	q	ah	ai	r	c3
ag	ax	aa	av	ao	ar	q	ah	n	r	c3
j	ax	b	i	ao	aw	q	ah	ag	r	c3
ab	am	h	al	ak	t	ax	ak	am	g	c6
g	am	h	aj	i	t	g	ak	am	m	c6
m	a	c	aj	ak	l	aq	an	u	k	c8
u	s	ag	ah	g	r	s	ak	ao	ai	c9
z	r	o	ad	ae	ar	v	g	r	h	c4
am	c	o	ap	al	m	at	q	q	z	c2
m	a	c	z	ak	t	aq	ah	n	aq	c8
b	am	h	ah	am	t	x	ak	am	v	c6
aj	al	ap	an	h	ad	j	g	l	m	c1
i	ae	b	au	l	p	ag	s	a	n	c10
x	s	ag	ah	ao	r	aq	ak	q	r	c9
ab	s	ag	ah	k	r	ac	ak	u	b	c9
aj	al	k	ax	h	a	ap	g	ah	m	c1
x	s	ag	ah	u	r	b	ak	ao	ab	c9
l	al	x	b	j	x	aw	al	ak	ae	c5
o	r	o	l	al	ar	o	g	r	h	c4
aw	al	x	b	m	x	j	ar	m	ae	c5
m	a	c	aa	ak	c	aq	y	ae	ai	c8
m	a	c	ab	ak	h	aq	aq	ao	k	c8
d	ax	ax	am	ao	ac	q	ah	d	r	c3
m	a	c	x	ak	q	aq	w	t	ae	c8
t	w	ac	as	af	af	q	c	y	al	c7
d	c	p	aa	al	av	at	aj	q	z	c2
ah	al	x	b	v	x	au	af	u	ae	c5
i	ae	ao	q	au	p	ag	aw	ai	n	c10
t	w	ac	t	c	ag	ar	c	y	m	c7
u	al	x	b	f	x	q	ah	ar	ae	c5
i	ae	e	ag	r	p	ag	b	p	n	c10
e	c	g	av	al	aa	at	ai	q	z	c2
i	ae	ac	d	av	p	ag	c	c	n	c10
t	w	ac	c	al	k	k	c	y	af	c7
t	ax	ar	q	ao	ac	q	ah	q	r	c3
m	a	c	y	ak	d	aq	z	r	an	c8
u	al	x	b	w	x	y	ah	ab	ae	c5
t	c	k	m	al	e	at	l	q	z	c2
t	w	ac	ai	ai	a	an	c	y	ah	c7
m	al	x	b	t	x	ac	aq	ac	ae	c5
z	c	at	i	al	aq	at	q	q	z	c2
ag	c	m	ax	al	ah	at	f	q	z	c2
m	a	c	aq	ak	aw	aq	al	af	au	c8
ap	s	ag	ah	at	r	af	ak	au	an	c9
aj	al	an	l	h	al	m	g	ad	m	c1
t	s	ag	ah	w	r	ai	ak	s	af	c9
i	ae	ah	m	ax	p	ag	g	ax	n	c10
w	s	ag	ah	w	r	c	ak	w	x	c9
aj	al	au	n	h	ao	am	g	b	m	c1
m	a	c	ao	ak	i	aq	a	af	h	c8
af	am	h	as	t	t	h	ak	am	au	c6
m	a	c	r	ak	o	aq	z	aa	s	c8
aj	al	t	s	h	u	aj	g	aa	m	c1
aj	al	ae	n	h	y	av	g	aj	m	c1
w	c	f	o	al	b	at	n	q	z	c2
q	r	o	af	o	n	an	g	r	h	c4
s	c	v	am	al	ae	at	i	q	z	c2
i	ae	an	aj	am	p	ag	s	at	n	c10
aj	al	ab	ag	h	m	m	g	l	m	c1
p	s	ag	ah	x	r	ah	ak	ab	ae	c9
t	w	ac	av	d	ar	ar	c	y	m	c7
w	am	h	o	ad	t	s	ak	am	a	c6
x	c	z	l	al	am	at	o	q	z	c2
m	r	o	q	af	r	av	g	r	h	c4
t	am	h	ak	j	t	ap	ak	am	i	c6
at	am	h	i	am	t	ah	ak	am	d	c6
y	r	o	aq	aa	as	aj	g	r	h	c4
ax	s	ag	ah	f	r	d	ak	af	x	c9
i	ae	ap	t	s	p	ag	o	q	n	c10
ai	am	h	j	q	t	d	ak	am	aq	c6
k	am	h	u	i	t	s	ak	am	x	c6
aj	al	o	ab	h	ae	o	g	ab	m	c1
m	s	ag	ah	e	r	ai	ak	i	aq	c9
v	s	ag	ah	ae	r	p	ak	e	u	c9
t	w	ac	ah	as	af	x	c	y	c	c7
m	a	c	av	ak	ax	aq	an	ae	aw	c8
ah	c	ak	aw	al	h	at	aj	q	z	c2
b	r	o	n	m	y	ar	g	r	h	c4
aw	c	ae	z	al	r	at	y	q	z	c2
i	ae	au	at	m	p	ag	u	ar	n	c10
t	w	ac	w	b	c	ab	c	y	al	c7
ax	ax	ak	r	ao	av	q	ah	ai	r	c3
m	a	c	at	ak	v	aq	aj	aj	ai	c8
aj	al	u	z	h	ao	c	g	z	m	c1
ag	r	o	an	n	z	h	g	r	h	c4
a	s	ag	ah	c	r	at	ak	f	ah	c9
aj	al	as	i	h	at	ae	g	ai	m	c1
ax	s	ag	ah	ae	r	j	ak	ab	ap	c9
t	w	ac	f	o	g	x	c	y	af	c7
v	am	h	aa	ah	t	e	ak	am	p	c6
i	ae	w	aq	n	p	ag	ap	au	n	c10
n	al	x	b	an	x	h	ac	u	ae	c5
m	a	c	p	ak	m	aq	j	h	l	c8
m	a	c	ad	ak	am	aq	aq	ak	aa	c8
m	a	c	e	ak	s	aq	ae	l	e	c8
q	r	o	c	ap	au	d	g	r	h	c4
ah	r	o	aa	ac	am	p	g	r	h	c4
i	ae	u	w	am	p	ag	ac	y	n	c10
m	a	c	l	ak	ak	aq	af	r	c	c8
ao	c	ar	am	al	ao	at	y	q	z	c2
ax	ax	w	b	ao	a	q	ah	ak	r	c3
t	w	ac	z	ah	ae	af	c	y	o	c7
m	a	c	w	ak	ad	aq	ad	d	u	c8
i	ae	s	g	s	p	ag	u	am	n	c10
i	ae	ad	a	e	p	ag	q	b	n	c10
aw	r	o	au	y	f	g	g	r	h	c4
al	s	ag	ah	v	r	aa	ak	an	ai	c9
t	w	ac	an	a	l	o	c	y	l	c7
m	a	c	z	ak	o	aq	ag	ai	aj	c8
m	a	c	n	ak	ah	aq	i	m	h	c8
aj	al	ag	ad	h	w	at	g	u	m	c1
as	am	h	ah	n	t	ab	ak	am	ah	c6
d	c	at	w	al	ac	at	l	q	z	c2
ae	am	h	ar	ag	t	ad	ak	am	n	c6
m	a	c	t	ak	aj	aq	c	b	g	c8
z	c	au	i	al	ap	at	ak	q	z	c2
c	al	x	b	ab	x	aa	aj	e	ae	c5
aj	al	at	at	h	t	h	g	an	m	c1
m	a	c	al	ak	ag	aq	n	at	au	c8
aj	al	c	j	h	ap	n	g	q	m	c1
q	c	ap	y	al	ae	at	m	q	z	c2
ad	c	aq	ag	al	m	at	k	q	z	c2
ap	al	x	b	g	x	al	c	ab	ae	c5
i	ae	an	r	aw	p	ag	ar	h	n	c10
i	ae	am	q	ax	p	ag	y	ag	n	c10
a	c	ao	k	al	j	at	ae	q	z	c2
ai	ax	av	ap	ao	af	q	ah	o	r	c3
ar	ax	am	c	ao	b	q	ah	af	r	c3
z	al	x	b	ae	x	ac	av	j	ae	c5
c	c	ak	t	al	f	at	p	q	z	c2
m	a	c	k	ak	an	aq	g	an	ac	c8
at	c	ax	at	al	ad	at	aq	q	z	c2
m	a	c	o	ak	au	aq	af	ax	am	c8
t	w	ac	ax	aa	aw	as	c	y	d	c7
o	r	o	ad	b	x	w	g	r	h	c4
m	a	c	t	ak	q	aq	ar	d	ap	c8
ac	al	x	b	r	x	ak	p	a	ae	c5
d	s	ag	ah	av	r	ai	ak	k	at	c9
r	am	h	aj	l	t	q	ak	am	at	c6
m	a	c	at	ak	m	aq	ax	m	h	c8
aj	al	r	f	h	af	u	g	ag	m	c1
al	c	r	s	al	j	at	k	q	z	c2
i	ae	r	j	ac	p	ag	av	k	n	c10
x	am	h	q	b	t	r	ak	am	al	c6
ar	ax	h	o	ao	ad	q	ah	k	r	c3
i	s	ag	ah	w	r	as	ak	am	av	c9
f	r	o	v	t	e	aj	g	r	h	c4
h	al	x	b	ag	x	ao	m	aj	ae	c5
y	c	au	ar	al	ab	at	ao	q	z	c2
m	a	c	ah	ak	av	aq	f	g	l	c8
i	ae	ak	am	z	p	ag	ap	a	n	c10
ae	c	e	ac	al	i	at	w	q	z	c2
aj	al	n	g	h	u	x	g	ab	m	c1
l	am	h	e	x	t	am	ak	am	y	c6
am	c	ai	aq	al	ab	at	ab	q	z	c2
m	a	c	ap	ak	ag	aq	p	w	p	c8
an	r	o	c	k	v	al	g	r	h	c4
ab	r	o	ai	as	aq	ar	g	r	h	c4
t	w	ac	af	as	q	ar	c	y	p	c7
i	ae	am	z	al	p	ag	v	m	n	c10
x	r	o	f	f	h	aj	g	r	h	c4
aj	al	am	at	h	ae	k	g	x	m	c1
q	al	x	b	ai	x	g	aw	d	ae	c5
aj	al	d	j	h	u	n	g	o	m	c1
aj	al	at	v	h	m	e	g	ai	m	c1
h	ax	g	e	ao	am	q	ah	m	r	c3
ar	am	h	ax	m	t	i	ak	am	k	c6
aj	al	al	s	h	t	at	g	a	m	c1
z	ax	aw	ak	ao	k	q	ah	u	r	c3
f	al	x	b	q	x	aw	s	b	ae	c5
g	al	x	b	ax	x	h	y	ai	ae	c5
aj	al	ao	g	h	l	q	g	an	m	c1
aj	al	g	x	h	k	ad	g	n	m	c1
ar	s	ag	ah	an	r	av	ak	n	an	c9
t	w	ac	y	ax	y	aq	c	y	r	c7
aj	am	h	ai	ah	t	p	ak	am	aw	c6
h	am	h	s	ap	t	o	ak	am	ar	c6
ar	am	h	n	ag	t	l	ak	am	ak	c6
g	r	o	u	s	f	ax	g	r	h	c4
ae	al	x	b	ad	x	ak	aa	c	ae	c5
t	w	ac	ak	m	d	m	c	y	ar	c7
u	ax	aj	d	ao	x	q	ah	y	r	c3
i	ae	ae	ac	z	p	ag	ac	at	n	c10
m	a	c	v	ak	a	aq	aq	aq	a	c8
aj	al	x	aa	h	p	b	g	ap	m	c1
m	a	c	ag	ak	at	aq	af	s	r	c8
ah	c	o	m	al	v	at	ah	q	z	c2
ab	am	h	aj	aa	t	aq	ak	am	ac	c6
h	ax	ai	b	ao	f	q	ah	m	r	c3
p	c	x	an	al	ad	at	t	q	z	c2
aj	r	o	ag	r	j	as	g	r	h	c4
e	s	ag	ah	ah	r	ag	ak	w	am	c9
v	am	h	y	d	t	p	ak	am	h	c6
af	c	aa	au	al	aa	at	u	q	z	c2
x	c	ae	am	al	u	at	ac	q	z	c2
aw	am	h	j	aa	t	p	ak	am	ar	c6
g	s	ag	ah	c	r	ar	ak	t	m	c9
aj	al	f	q	h	ai	aq	g	m	m	c1
ax	am	h	g	e	t	p	ak	am	at	c6
aq	r	o	w	t	z	af	g	r	h	c4
m	a	c	s	ak	j	aq	t	ak	ak	c8
ab	r	o	p	s	s	j	g	r	h	c4
ai	am	h	u	ac	t	am	ak	am	ai	c6
b	ax	u	ag	ao	af	q	ah	l	r	c3
w	am	h	v	h	t	ak	ak	am	ag	c6
am	s	ag	ah	i	r	e	ak	at	p	c9
t	w	ac	l	e	a	ab	c	y	ap	c7
aq	r	o	g	a	n	aq	g	r	h	c4
ab	c	aa	d	al	w	at	n	q	z	c2
b	c	n	al	al	k	at	ag	q	z	c2
t	w	ac	x	af	aw	u	c	y	b	c7
v	al	x	b	v	x	aq	f	i	ae	c5
d	c	y	h	al	n	at	m	q	z	c2
l	s	ag	ah	j	r	ac	ak	s	as	c9
i	ae	ao	av	as	p	ag	an	a	n	c10
s	ax	g	ak	ao	s	q	ah	k	r	c3
f	al	x	b	ax	x	z	x	ax	ae	c5
i	ae	z	c	ag	p	ag	av	al	n	c10
t	w	ac	ad	j	g	am	c	y	ar	c7
i	ae	k	a	f	p	ag	ar	al	n	c10
ab	r	o	aw	am	y	n	g	r	h	c4
ac	c	a	r	al	s	at	n	q	z	c2
aj	al	q	u	h	av	ag	g	m	m	c1
a	ax	an	at	ao	ap	q	ah	c	r	c3
al	ax	ac	d	ao	l	q	ah	e	r	c3
ac	s	ag	ah	r	r	au	ak	n	ak	c9
t	w	ac	ap	x	am	an	c	y	o	c7
s	al	x	b	ai	x	aw	t	at	ae	c5
aj	al	m	t	h	b	j	g	ac	m	c1
m	a	c	l	ak	ae	aq	av	b	z	c8
aj	al	l	at	h	aa	b	g	u	m	c1
i	ae	f	y	k	p	ag	o	r	n	c10
k	c	ap	au	al	k	at	aa	q	z	c2
t	w	ac	t	c	aj	h	c	y	z	c7
ak	c	ao	al	al	g	at	ab	q	z	c2
b	ax	t	ah	ao	af	q	ah	ad	r	c3
t	w	ac	k	ap	w	ak	c	y	o	c7
t	w	ac	ah	y	h	b	c	y	ad	c7
m	a	c	ar	ak	av	aq	p	aj	ad	c8
ac	am	h	ax	ae	t	n	ak	am	s	c6
ar	ax	ad	q	ao	y	q	ah	am	r	c3
d	ax	ah	ax	ao	z	q	ah	u	r	c3
ab	s	ag	ah	j	r	av	ak	ap	al	c9
m	a	c	aw	ak	z	aq	b	ar	o	c8
i	ae	h	av	f	p	ag	ap	ab	n	c10
d	c	ab	j	al	af	at	i	q	z	c2
aj	al	aj	v	h	ac	e	g	aa	m	c1
aw	ax	am	at	ao	l	q	ah	g	r	c3
aj	al	am	l	h	av	at	g	k	m	c1
an	c	o	l	al	at	at	ao	q	z	c2
m	a	c	p	ak	as	aq	n	af	ah	c8
aa	r	o	ac	am	ap	h	g	r	h	c4
a	r	o	m	al	ao	e	g	r	h	c4
t	w	ac	ag	an	o	g	c	y	a	c7
i	ae	k	ac	ax	p	ag	af	aj	n	c10
r	al	x	b	g	x	aa	as	m	ae	c5
au	am	h	j	r	t	as	ak	am	h	c6
as	al	x	b	u	x	af	aj	x	ae	c5
w	r	o	c	ar	z	ab	g	r	h	c4
an	am	h	ai	r	t	x	ak	am	u	c6
i	ae	k	aj	g	p	ag	f	c	n	c10
aj	al	an	ao	h	aj	ai	g	ax	m	c1
b	c	x	ar	al	ac	at	ao	q	z	c2
s	r	o	q	u	p	b	g	r	h	c4
aa	ax	ai	c	ao	r	q	ah	w	r	c3
aj	al	ag	w	h	av	c	g	ae	m	c1
m	a	c	j	ak	z	aq	j	am	j	c8
t	w	ac	ar	f	ag	aw	c	y	n	c7
r	c	t	ao	al	c	at	am	q	z	c2
as	al	x	b	ab	x	ag	y	au	ae	c5
m	a	c	ac	ak	at	aq	av	ar	w	c8
m	a	c	b	ak	r	aq	g	al	f	c8
aa	ax	ax	ae	ao	r	q	ah	m	r	c3
aa	r	o	av	g	av	as	g	r	h	c4
af	am	h	ad	af	t	r	ak	am	ax	c6
ao	s	ag	ah	y	r	aj	ak	n	c	c9
t	w	ac	aw	b	n	ai	c	y	ab	c7
aj	al	at	o	h	x	ai	g	e	m	c1
m	a	c	ax	ak	al	aq	aa	r	u	c8
t	r	o	ab	r	as	aa	g	r	h	c4
w	r	o	t	p	ao	ax	g	r	h	c4
m	a	c	h	ak	y	aq	ai	f	c	c8
at	c	ac	n	al	aa	at	g	q	z	c2
k	am	h	l	j	t	ak	ak	am	ao	c6
af	c	ac	al	al	q	at	aa	q	z	c2

**/
(11.1%) c8 <- A=m & B=a & C=c & E=ak & G=aq
(10.5%) c2 <- B=c & E=al & G=at & I=q & J=z
(10.5%) c6 <- B=am & C=h & F=t & H=ak & I=am
(10.0%) c9 <- B=s & C=ag & D=ah & F=r & H=ak
(9.8%) c1 <- A=aj & B=al & E=h & H=g & J=m
(9.8%) c3 <- B=ax & E=ao & G=q & H=ah & J=r
(9.7%) c5 <- B=al & C=x & D=b & F=x & J=ae
(9.0%) c7 <- A=t & B=w & C=ac & H=c & I=y
(8.9%) c4 <- B=r & C=o & H=g & I=r & J=h
(10.7%) c10 <- A=i & B=ae & F=p & G=ag & J=n
**/
