10000 7
A	B	C	D	E	F	Class
hy	xn	nn	t	ex	abc	c4
xg	aba	ahe	oa	aei	nw	c2
ay	aba	vm	hp	rg	nm	c2
at	ace	ky	fl	ty	y	c1
agr	aeb	sp	adl	aim	db	c5
aja	ace	aav	su	ahn	wf	c1
lq	ng	ac	qw	ai	mz	c3
ax	ng	akl	mg	pv	ef	c3
af	aba	na	rs	xh	aex	c2
gl	ng	dg	alk	aci	po	c3
wm	aba	yz	we	adx	rc	c2
gg	aba	adx	xz	hy	acv	c2
afl	aba	kb	xk	fz	hz	c2
kj	xn	aig	gt	ve	agh	c4
b	xn	df	tr	aki	fb	c4
ce	ng	gx	dy	bn	ja	c3
ajs	xn	hg	sv	zf	aen	c4
sz	xn	oy	abg	eq	qf	c4
afg	aeb	ki	ji	og	oi	c5
au	ng	acc	xt	zq	bl	c3
adu	xn	fy	tz	sm	afa	c4
afr	aba	cg	kb	aed	zn	c2
ld	ng	dz	hu	wq	qw	c3
nt	aba	aky	z	vh	gz	c2
da	aeb	yn	sv	w	ahr	c5
aaj	xn	aao	nt	tt	ye	c4
mz	ng	st	aad	adz	rn	c3
qc	aeb	sy	acf	q	vf	c5
mr	ng	aca	aim	g	vp	c3
xu	xn	be	nt	nh	pc	c4
aku	aeb	ih	jv	ln	ue	c5
dl	aba	aib	hp	pu	vq	c2
on	xn	agq	pz	akl	ul	c4
js	ng	dh	aha	ds	sx	c3
wr	xn	rz	afg	bt	vm	c4
agh	ace	tz	abp	zr	rj	c1
eh	ace	yn	qw	o	afw	c1
px	ng	gt	hy	pk	adc	c3
fk	ng	akc	ic	xa	ym	c3
io	aba	aif	ad	le	aex	c2
en	ng	vm	no	afn	zx	c3
md	ng	ea	wb	yo	vc	c3
er	xn	di	fs	aan	zf	c4
hf	aba	ex	aae	wn	zp	c2
kx	ace	lu	ako	dm	ym	c1
wx	xn	um	abp	ej	cp	c4
acg	aba	eq	sr	abb	ady	c2
aed	aeb	alj	fu	an	ri	c5
co	xn	abf	xt	air	sr	c4
kq	aeb	jy	bw	dq	ya	c5
ajg	ng	pb	px	ako	fp	c3
kd	aba	ahn	abd	sd	cs	c2
gd	ace	dj	dh	du	qo	c1
bk	aba	aew	t	gn	ao	c2
ajx	ace	yz	pg	xx	ahg	c1
aku	ace	aju	tt	ads	gm	c1
ig	ace	az	s	yg	j	c1
jb	aeb	iv	qq	alc	bl	c5
zi	xn	aw	ace	qz	zr	c4
ig	ng	akd	ut	agc	os	c3
gf	aeb	xt	afx	yu	yw	c5
acn	ace	aal	mz	cu	agp	c1
tc	aba	ajz	re	aio	n	c2
wv	aeb	ol	ajr	mq	fv	c5
hj	aba	qi	ix	xu	abg	c2
tv	aba	afc	ais	ji	ce	c2
ald	xn	ahc	ix	aei	rq	c4
ba	ace	uk	rh	dh	rq	c1
jm	ace	aef	ar	yc	adj	c1
kc	aba	f	aae	kb	cr	c2
ge	aba	zd	fn	jc	eq	c2
cr	aeb	aaj	by	ra	agu	c5
vw	aba	gx	yk	vp	aiy	c2
v	ng	ew	uk	vt	d	c3
eb	aeb	le	dk	afg	pu	c5
no	xn	aax	abo	ss	ok	c4
zz	aba	ws	ff	fs	ar	c2
tu	xn	alh	afi	aey	agx	c4
akt	aeb	kp	il	jg	pg	c5
ach	ace	oh	el	rj	it	c1
acr	aba	agd	cp	aav	av	c2
ls	aeb	adc	ac	ft	abg	c5
agk	ng	xh	rw	kq	aff	c3
xk	aeb	sy	air	ar	aha	c5
so	ace	pi	hv	abi	wl	c1
cu	aba	ale	eg	agm	vr	c2
ly	ng	rs	vr	abk	lf	c3
pv	aeb	wj	an	nc	fu	c5
aiu	xn	sp	ti	ou	ji	c4
wn	aba	bg	ss	ij	xk	c2
yd	ng	lm	sj	jp	sh	c3
kp	ace	uz	aed	bg	xb	c1
lb	ng	wr	wb	op	zf	c3
bm	aeb	ho	ep	cn	yq	c5
gi	ace	rn	qf	cy	qs	c1
so	aeb	bn	nl	cy	lb	c5
tv	xn	uy	afi	xh	ts	c4
jh	aba	ky	adn	ahu	aaw	c2
uw	aba	hv	mk	aay	mk	c2
aev	aba	sw	aei	afw	ts	c2
fo	xn	mn	cm	nm	tu	c4
jr	aba	ajd	wz	gf	fg	c2
ud	ng	ld	ow	aan	rf	c3
gk	ng	aeo	aq	jq	rq	c3
jg	aeb	sw	mc	yr	kp	c5
f	xn	aci	rh	ahz	bj	c4
bq	aeb	aal	akf	s	ade	c5
np	ace	yf	afw	agn	kr	c1
ali	aeb	jj	ali	afw	np	c5
ao	aba	le	ac	zj	agj	c2
kl	ng	ze	sk	bf	jk	c3
rq	ace	wc	of	lp	tq	c1
aag	aba	alh	js	akl	f	c2
uv	ng	ul	yp	ix	hp	c3
adk	aeb	pl	gb	wv	fr	c5
aht	ace	oh	aba	ki	mw	c1
abn	ng	hf	es	qu	oz	c3
rq	ng	wi	sh	uh	ade	c3
ns	ng	dn	ii	au	rf	c3
cx	xn	oy	jz	aaj	aby	c4
lg	ng	zt	lq	mb	oe	c3
abf	ace	zn	bx	og	mz	c1
qg	ng	pu	bs	rh	so	c3
ys	aeb	afp	ye	iz	dc	c5
agd	aeb	aah	nv	pk	tf	c5
ox	aba	dc	yu	ys	iu	c2
ahk	xn	jw	agv	q	ex	c4
rp	ng	jw	cy	ol	en	c3
akj	aeb	agt	aha	aap	lf	c5
uf	ng	yh	aht	yh	ip	c3
cc	xn	agz	oy	et	aih	c4
rh	ace	adh	x	aam	hj	c1
afo	ace	aer	sl	yd	ra	c1
abp	ace	yn	nh	xf	vj	c1
akf	xn	afs	fn	ge	ajg	c4
ur	xn	ys	qd	ak	lp	c4
ep	ng	aix	afu	aaw	aix	c3
jz	xn	ll	fw	wb	y	c4
abl	aba	abm	sp	cl	t	c2
hn	aeb	w	ho	hx	ahf	c5
tf	xn	es	alg	ox	tx	c4
za	aba	afi	uc	ml	pi	c2
agi	xn	afz	ahb	afo	xy	c4
uq	ace	gs	ht	afl	in	c1
oh	aba	sc	sk	aak	aif	c2
hs	aba	abz	rm	fz	hi	c2
ae	ace	wm	hk	br	hj	c1
nj	aeb	zo	gw	aav	jv	c5
vs	xn	fv	wr	ach	pa	c4
ly	aeb	ny	ee	vn	tn	c5
cx	aba	ct	f	aed	aio	c2
ry	xn	adc	afi	hw	abh	c4
aek	aba	vx	agb	qz	ry	c2
oe	ace	aep	do	z	wz	c1
acz	ace	ajy	fh	fa	akn	c1
fs	xn	zz	tf	co	wr	c4
mw	ng	all	ia	e	zo	c3
aik	aeb	lo	aan	afb	zc	c5
aih	xn	sq	aki	eh	fj	c4
qs	aba	bb	rg	tu	aca	c2
pv	xn	dc	g	am	aio	c4
cs	xn	akx	agc	ul	lq	c4
sl	aeb	yz	eq	md	acd	c5
dt	ace	aik	abo	kd	hq	c1
bc	ace	kt	cg	se	aav	c1
mi	aeb	aea	ea	aa	aan	c5
au	aeb	nw	xm	ul	adw	c5
cl	aeb	pf	aez	be	gg	c5
gi	ace	jg	ach	ajl	lp	c1
sf	aba	aiq	jy	sy	l	c2
ke	xn	ks	op	lj	aei	c4
lp	aeb	be	pi	fk	km	c5
alc	aba	ake	bb	adw	fb	c2
aky	xn	ahj	ajo	cz	afd	c4
ff	ace	uu	vm	rw	nm	c1
va	aeb	wy	ip	abt	ir	c5
adj	ng	lx	bf	ac	vz	c3
yn	ace	zk	zj	eu	er	c1
dl	ng	aib	ef	abx	hq	c3
agd	aeb	sk	rb	abr	hb	c5
aju	aeb	z	qt	aau	up	c5
lr	aba	va	akr	add	ajh	c2
ci	aba	adt	jb	bv	jj	c2
aip	xn	aei	aap	ys	aha	c4
dk	xn	uz	rk	qf	sy	c4
ajd	aba	ut	hf	mn	pf	c2
zw	xn	q	aaz	aba	xg	c4
fb	ng	ui	eo	jc	dj	c3
yy	xn	ady	ho	en	wm	c4
mf	aeb	vl	rw	agh	m	c5
ql	ng	aem	y	ez	ady	c3
am	aeb	abg	mf	dp	aq	c5
bv	aba	va	qp	s	bx	c2
jh	aba	jh	xa	jn	ail	c2
ot	aeb	zz	vr	em	ajg	c5
acc	ng	qg	alk	op	aje	c3
aas	xn	ajo	ip	ur	jz	c4
aga	aeb	eq	ajg	aiy	f	c5
di	xn	abc	sh	abq	qk	c4
ajz	ace	mt	wm	aik	od	c1
wf	xn	za	aaj	aec	ob	c4
zb	aeb	aap	vg	dn	hn	c5
agy	aba	vx	m	ap	aes	c2
ry	aeb	acn	aeh	ze	h	c5
qd	ng	zt	pu	gj	vp	c3
ua	ng	jd	kl	yb	xp	c3
nh	ace	aeg	agy	ao	ki	c1
zo	ace	ads	fv	fp	acq	c1
rl	xn	up	yo	ee	yt	c4
hf	ng	tx	aie	lz	sj	c3
sw	ng	db	rl	cs	hb	c3
ka	ace	td	afl	abt	ip	c1
ri	aeb	jk	wg	bg	pj	c5
aiq	ace	bk	aho	zd	afh	c1
adb	xn	agm	xv	adn	re	c4
pm	ng	aim	s	ahj	zf	c3
afa	xn	ni	aal	sg	aj	c4
wu	ng	pq	aba	df	ja	c3
gr	xn	akb	l	aei	gb	c4
jt	ace	cy	agz	agp	qf	c1
eo	ng	ow	kl	bz	ow	c3
of	ng	us	bt	aim	hn	c3
a	aeb	agy	ake	nj	lf	c5
agw	ace	iz	rj	aeo	ke	c1
aga	ace	abv	qg	aaa	ep	c1
ma	aeb	rf	nb	yu	aiu	c5
gr	xn	agk	xr	fo	vc	c4
ajg	aeb	ajq	ep	nn	akb	c5
aar	aba	fo	qk	fn	sf	c2
qh	ace	mm	iu	aif	lo	c1
ad	ace	adk	tu	yk	ai	c1
zg	ace	mf	eh	oz	uy	c1
ala	ng	afy	cy	lg	am	c3
adp	ng	dj	yh	ce	ah	c3
nn	ace	acm	afa	ait	ic	c1
ga	aba	rn	rd	bt	et	c2
aat	aba	abn	ub	vj	ua	c2
eu	ace	afu	qv	ex	xh	c1
ais	aeb	aij	afe	uz	kf	c5
rd	ng	tw	rz	ahd	abh	c3
aio	ace	da	aee	ca	abl	c1
rb	ace	va	afd	am	aa	c1
ui	ng	cz	abm	ag	uv	c3
gi	aba	ez	hc	hi	ak	c2
yf	ace	aij	akv	ld	fy	c1
mo	aba	oc	nw	xn	vf	c2
ako	ng	aab	agc	adn	afm	c3
qg	xn	acz	cf	vt	zo	c4
ld	ng	vy	se	dn	act	c3
b	aeb	oy	uq	wk	cq	c5
eb	xn	gh	tl	bx	ar	c4
aja	ace	ik	aix	ra	aik	c1
pu	ng	aer	en	dg	sr	c3
pj	ace	wz	gk	ej	aix	c1
dz	xn	co	lm	cd	mw	c4
sd	ng	lf	df	aas	aip	c3
th	ace	pm	vt	akp	agn	c1
pj	ace	qn	qx	fw	uv	c1
aeh	aeb	yu	uj	ci	xj	c5
adg	ng	ais	iw	xi	fu	c3
ri	aeb	aka	acj	adx	vw	c5
akt	xn	adh	po	ti	agn	c4
sm	ng	iy	adg	ko	aiq	c3
cs	ng	ahs	uf	wn	ho	c3
ahx	aba	ahx	q	kv	afh	c2
yc	xn	nu	ni	pm	qj	c4
vu	aeb	ako	cu	sa	ada	c5
zn	aeb	ada	hi	adb	ajv	c5
aev	ng	nt	l	akx	aer	c3
wt	ace	w	ai	r	z	c1
xd	aba	ald	yw	ie	ma	c2
jm	aba	fo	rw	lk	vh	c2
fr	ng	oy	pj	wj	aco	c3
sj	aba	jy	fr	ahe	agy	c2
alc	aeb	tz	up	qp	jr	c5
abv	ace	aay	bl	qy	rn	c1
bp	xn	uy	aig	ada	adp	c4
aev	xn	i	sr	mf	xh	c4
ba	ace	ra	ln	cl	fj	c1
afa	aeb	ef	xu	mz	akp	c5
bv	aba	di	ahx	ad	sc	c2
aje	aba	aaa	ahx	rl	agz	c2
ahw	aba	tm	pb	qr	abv	c2
acu	ng	yx	adg	kl	id	c3
wd	aba	p	wc	jq	vg	c2
akv	xn	os	agr	abe	wp	c4
db	xn	aim	fj	pm	abd	c4
ajq	aba	p	cs	xi	akj	c2
ip	aeb	ajo	ajp	gi	sf	c5
wv	aeb	cd	gf	rl	ajl	c5
ls	aeb	aam	akl	oj	ym	c5
wm	aeb	aim	qh	fh	adm	c5
ahv	ace	agy	ds	vf	zr	c1
adv	aeb	ahx	abm	aju	cb	c5
oa	aeb	db	adi	po	wy	c5
ajy	aeb	nr	age	wj	wy	c5
lu	aeb	pm	agq	he	hi	c5
us	ng	dy	tz	tn	oa	c3
vt	aeb	kn	r	hm	aac	c5
xb	aba	na	gf	aac	afi	c2
adj	aba	akx	uk	aab	wl	c2
abg	aba	dw	kn	aji	jq	c2
agu	aba	la	nz	ca	be	c2
afp	xn	aet	gl	afy	akp	c4
wx	ace	pi	pp	yq	de	c1
th	aeb	ez	xs	xs	kt	c5
adg	aeb	ni	aak	sq	gg	c5
abl	xn	gr	abl	qt	acq	c4
eu	ace	nt	nr	wf	ako	c1
uf	aeb	ng	ux	gc	rj	c5
qh	aeb	ge	fm	cc	qp	c5
wg	xn	ajz	rl	abp	cs	c4
nd	aeb	aje	age	ajq	yg	c5
wn	ace	tl	uh	wn	ii	c1
sm	xn	adq	yr	nk	wf	c4
adn	xn	wx	tq	kw	lx	c4
afd	aba	hs	ee	mh	nd	c2
acb	ng	aiw	ow	wl	yl	c3
ags	xn	rd	rw	js	agy	c4
ake	ace	sr	hr	ala	zo	c1
vg	aeb	ah	hd	yp	afq	c5
adw	aeb	ed	sc	p	ov	c5
i	ng	rc	akl	ln	acw	c3
afq	aba	qx	yn	mi	ais	c2
fw	ace	fc	acz	dz	aec	c1
uc	aeb	zd	lg	abx	cj	c5
qg	aba	nb	qa	oh	su	c2
tu	aeb	aal	adz	ps	sw	c5
rv	aeb	kz	lv	ahp	zu	c5
nd	ng	de	rk	wk	le	c3
tl	ace	ala	ev	ahk	gi	c1
jh	ng	kz	ru	rh	vo	c3
qr	xn	rj	gk	fq	ajm	c4
aej	aeb	abh	afs	aay	bj	c5
up	xn	fa	bs	ax	kf	c4
wd	ace	an	yd	aid	p	c1
jt	aba	mp	xy	ax	aar	c2
sb	xn	ls	ki	ae	hd	c4
tx	ng	ahf	mb	en	ahd	c3
alg	aba	aiz	mo	id	dh	c2
bx	ace	qv	abb	xa	me	c1
ajl	aba	mz	akn	all	ip	c2
agy	xn	mw	ad	cq	ahi	c4
w	aba	qp	bv	wo	ei	c2
py	ace	ci	mf	wd	mu	c1
dp	aba	yb	hr	adm	zt	c2
kk	aeb	aho	ada	kb	k	c5
ul	aeb	jj	se	mq	vo	c5
ql	aeb	acd	afu	xy	ahy	c5
nu	ng	vh	gs	akv	ahu	c3
aio	aeb	zh	vp	ul	zu	c5
aje	aba	di	ec	abx	aio	c2
fs	aba	yw	qk	wg	adq	c2
yh	xn	qg	uf	adz	bh	c4
ip	xn	act	xp	go	st	c4
yv	ace	jw	mz	vw	ff	c1
aeq	aba	qo	ok	sd	lo	c2
qi	aeb	wl	vv	hl	hs	c5
ek	ace	abf	aig	tz	bk	c1
acc	xn	kb	aiu	wy	es	c4
vz	aeb	abn	aio	ale	aaj	c5
in	ng	aky	abr	do	abd	c3
uu	ace	wr	qc	we	abu	c1
ir	ng	ix	on	ic	go	c3
act	aeb	wi	gn	aht	ads	c5
or	ace	bc	jg	km	aim	c1
alf	ng	tv	ok	ady	hj	c3
all	xn	c	ea	li	ld	c4
bq	xn	afg	uz	zk	bh	c4
eo	ace	afg	acn	fl	ka	c1
dk	ace	aen	akr	rv	ya	c1
aem	aba	aky	ahy	pe	abr	c2
gs	ace	dy	lg	ok	mj	c1
yd	xn	tf	agd	aah	zs	c4
ads	ng	yd	hj	aea	mp	c3
pb	aeb	oj	adb	tt	mu	c5
ahg	xn	afc	vi	qy	dv	c4
fg	ace	aix	qj	te	t	c1
eb	ace	dm	kp	iv	ad	c1
ali	aba	lb	xt	dx	agz	c2
uq	ace	adq	va	ik	uo	c1
yv	aeb	uf	aia	rt	m	c5
ro	aeb	abr	afd	vh	ak	c5
ns	xn	ms	mz	agk	wr	c4
adg	aba	xe	ax	ahl	aaa	c2
nm	xn	aeq	mk	cd	q	c4
akx	aba	uc	xz	ain	l	c2
aev	ng	kj	zz	mw	wh	c3
yc	xn	ada	mq	px	rs	c4
xo	ace	aea	zt	aim	ax	c1
agp	aba	ql	eq	acb	agi	c2
mj	ace	ol	qt	ail	cv	c1
e	ace	ahw	aim	hv	qd	c1
ags	xn	pf	acp	xi	i	c4
kb	xn	uo	oa	ahz	ar	c4
dk	ace	akp	yw	mv	afm	c1
akn	xn	qk	ny	alf	gw	c4
wi	ace	ai	oo	ua	bs	c1
ta	aba	oc	ahf	aag	ql	c2
xq	aeb	bt	ya	rg	vv	c5
xa	aba	ahk	sn	ck	ev	c2
alb	ng	adx	ajq	aq	ay	c3
ahm	aba	afj	afl	tx	akk	c2
agx	ace	pi	ds	mf	zy	c1
wl	ace	ve	vb	ajq	pr	c1
acp	ace	wd	aib	lp	aho	c1
un	aba	do	zi	q	ei	c2
lp	aba	lv	alh	sv	afw	c2
zl	aba	alj	aba	agl	ajz	c2
jn	aeb	vx	rf	tw	gh	c5
jm	ace	ajt	abu	agl	xf	c1
kx	aba	gn	mh	lj	da	c2
ajo	ace	acf	qh	aie	pn	c1
xx	xn	jj	sx	kk	lb	c4
wk	xn	ev	rg	agt	uk	c4
iq	aba	un	be	aca	z	c2
s	ace	ala	fn	ku	im	c1
ua	aba	ff	ab	il	aid	c2
alk	ng	kd	nr	h	s	c3
hb	aeb	ahv	we	ali	akv	c5
ao	aba	ab	yy	aao	ly	c2
ajt	xn	xm	lv	aer	of	c4
is	ace	n	pe	vk	dt	c1
vn	ace	aes	om	zm	qe	c1
hh	aeb	aid	akb	lz	ii	c5
nh	aeb	be	zi	xc	bu	c5
hy	xn	nl	aft	aak	aaa	c4
fv	xn	ahd	mg	yk	rc	c4
ka	ng	aau	hu	aba	ch	c3
sw	ng	ys	adf	nb	afq	c3
gz	aba	xt	kt	vr	aaf	c2
rs	aba	alb	px	acu	fe	c2
ei	aba	hf	vb	pf	lq	c2
abj	ng	fj	uu	up	nw	c3
kg	ng	dr	agt	xg	ga	c3
ch	xn	ha	pc	jb	aed	c4
hr	ace	qa	akn	aah	aio	c1
aga	ace	ahp	ahw	aft	la	c1
agt	ng	rm	ma	jx	kq	c3
op	aba	dv	aem	wk	aep	c2
mf	ng	xa	tz	adb	hg	c3
ds	aeb	uw	zn	sz	pe	c5
vx	aba	dt	pu	ej	es	c2
qv	ace	rv	ajl	sk	qi	c1
yx	ng	ya	xq	rq	yc	c3
ah	ace	gn	yx	abz	tj	c1
xi	ng	ajv	aev	f	ki	c3
zw	xn	lz	acb	ky	eq	c4
mj	ng	lj	oi	vf	gn	c3
abm	ng	oc	mc	xn	cx	c3
ye	ace	acm	as	vy	id	c1
xz	xn	bj	kz	ajn	gv	c4
f	xn	zd	gn	aew	zl	c4
acu	xn	pg	xv	tx	ala	c4
aek	ng	eg	ty	te	alb	c3
p	ng	ajn	og	pq	abe	c3
kz	ace	ov	ahj	aik	ba	c1
ux	aeb	agt	aks	aaq	pk	c5
aip	aeb	sl	v	jc	ur	c5
kb	ng	ajj	zd	va	sa	c3
tv	aba	kx	gb	ach	ef	c2
ls	ng	akw	vk	rf	mn	c3
ew	ace	aca	aed	abe	pl	c1
ach	ace	lr	abo	afs	agd	c1
zu	ng	kf	bh	abh	er	c3
ys	ace	ok	eh	yq	az	c1
afx	xn	lm	cb	gb	xr	c4
ahr	xn	bz	xa	ff	ri	c4
o	aba	acc	re	fe	ez	c2
gw	xn	ako	sm	tj	ug	c4
akn	aeb	ake	gf	ajd	ex	c5
wu	aeb	mj	abj	ad	ago	c5
aai	aba	yl	tv	aib	abr	c2
nt	xn	rk	ea	qy	aee	c4
wk	ace	dx	zz	ado	rb	c1
adj	xn	ajs	xz	hp	fs	c4
agc	aba	ajk	tk	ald	am	c2
uy	ace	wt	aim	alg	aid	c1
qo	xn	zu	rg	aff	td	c4
abl	ng	wd	afr	akv	adu	c3
ais	xn	ahy	akj	ahr	wd	c4
ke	ng	wy	acv	wx	bv	c3
vd	aba	rg	lh	db	sc	c2
pi	ng	wr	agd	aee	aje	c3
xw	ace	em	ne	aal	ud	c1
le	aeb	aaw	sx	jh	bp	c5
ace	aeb	vg	ck	ahf	lm	c5
abh	aba	az	afk	q	iy	c2
jp	xn	pb	mq	agu	py	c4
dk	xn	qp	py	afx	ae	c4
aky	ng	agr	x	ags	ahc	c3
ahm	ng	rc	xm	ads	fq	c3
js	xn	wq	air	nk	lw	c4
tv	ace	hu	zq	rp	aak	c1
ahy	aeb	fg	kt	wi	akv	c5
alj	aba	yq	sr	bv	ake	c2
yf	ace	ahd	yj	afc	alb	c1
ps	xn	abt	aho	q	yc	c4
wg	xn	xa	wc	lf	p	c4
zi	ace	ale	agb	yy	zr	c1
acl	xn	adk	aek	aaq	mk	c4
aep	ace	eb	abj	h	rr	c1
a	aba	gg	aeh	ajk	nx	c2
hz	ace	v	ady	cw	aij	c1
aje	xn	bz	dy	uz	ahh	c4
yw	ng	acr	rb	lf	bw	c3
acg	ng	akq	m	so	nz	c3
fx	xn	abi	gv	aew	fu	c4
he	ng	sa	c	fl	vf	c3
abj	ace	aga	jq	cg	km	c1
hr	ng	rn	ahn	aga	nq	c3
ld	ng	td	eq	mq	aiv	c3
yk	ng	uf	dk	lc	aik	c3
ace	xn	bb	afo	rr	wy	c4
abc	xn	lg	ag	agr	iz	c4
ale	ng	qu	ali	aak	aax	c3
om	aba	hx	ik	ahk	un	c2
akn	ace	zf	aha	ace	um	c1
ej	xn	hm	hg	adf	mh	c4
aaf	aeb	eb	aci	ab	ge	c5
zt	xn	agc	ws	aez	xo	c4
agk	aba	vb	afx	ais	tf	c2
ada	xn	afg	yo	aeb	w	c4
alg	aba	nd	ox	aja	bo	c2
ade	ace	ex	ael	ln	vi	c1
adf	xn	abl	pj	aar	ty	c4
td	aeb	ex	rx	aez	agk	c5
abw	ng	akg	rp	afu	rw	c3
th	aba	lc	bd	kf	aes	c2
aem	ace	py	cp	abh	wa	c1
q	aeb	gn	cz	aag	em	c5
qg	ace	wa	de	vi	aer	c1
ajt	ace	ko	lu	kd	aam	c1
aam	ng	hi	aap	afy	de	c3
fd	xn	vf	zc	ef	nc	c4
ce	aeb	gx	ael	xm	dz	c5
cd	xn	aja	iu	adt	abh	c4
av	ace	qm	bx	hd	agw	c1
un	aeb	sl	rk	up	aah	c5
nm	ace	il	ait	tc	aku	c1
aaq	aba	aiy	jh	aco	la	c2
md	aba	ps	ww	ev	us	c2
afy	aba	acx	bo	aix	acb	c2
jr	aba	akp	bw	acl	vs	c2
q	ace	re	k	qs	uh	c1
vw	ng	ez	ap	yq	hj	c3
qj	xn	an	lw	nz	akb	c4
qm	aeb	akc	aj	uy	ad	c5
xq	ace	kl	ep	vw	ahm	c1
eq	xn	aii	sa	r	ju	c4
cm	ace	akf	vs	aao	yl	c1
wk	xn	agn	ais	adr	ajz	c4
np	ace	lh	ej	ca	eu	c1
dx	ng	aae	ab	me	kq	c3
dn	xn	alb	aev	aed	ak	c4
nv	aba	jf	uo	ux	fa	c2
vz	ng	aig	gc	acr	aip	c3
aea	xn	k	jp	kl	ar	c4
zm	xn	yo	dm	ahe	os	c4
rf	ng	aac	ea	he	qs	c3
ahk	xn	bn	nk	dd	yi	c4
ail	ace	px	gg	aax	tg	c1
gm	ace	zq	ahn	jh	akf	c1
xj	xn	id	ale	oz	wx	c4
gm	xn	yr	we	as	ku	c4
ahp	ng	jk	ct	akl	aac	c3
db	ace	agf	acp	kj	au	c1
wu	aba	aiq	k	ik	pt	c2
aej	ng	ajb	w	jd	fo	c3
vi	xn	akn	vu	akd	jz	c4
alb	ace	adl	ix	oz	td	c1
agh	aeb	fv	ue	dx	wh	c5
by	ace	eg	abb	hq	bv	c1
rt	ng	yi	rs	ad	b	c3
aiy	ace	mn	sa	bu	akb	c1
act	ng	ajr	g	rk	df	c3
fa	aba	adn	agf	jf	lk	c2
rp	ace	vq	aio	acy	cs	c1
agw	aba	agu	aia	tr	zm	c2
hv	aba	fe	fl	zb	agf	c2
cj	aba	sg	sh	kk	gc	c2
be	aba	sz	ya	bj	zd	c2
sb	aeb	ajh	agv	kn	hb	c5
aak	ace	fw	abd	vs	ug	c1
mk	aeb	ri	nn	ur	ot	c5
fm	ng	aii	um	q	aip	c3
sr	aba	ma	k	agc	adj	c2
aen	xn	bl	fb	md	br	c4
aki	aba	l	aim	ada	aiv	c2
bg	ace	ql	kj	ajq	it	c1
sh	xn	sj	ajp	bh	sk	c4
aw	aeb	gh	alc	fh	xd	c5
aex	ace	ji	e	sw	fc	c1
kp	aba	fo	sg	ba	zr	c2
aan	aeb	hm	mc	dq	bw	c5
ln	ace	aks	hx	yw	w	c1
aca	ng	pl	vo	aht	ct	c3
yw	xn	qs	aat	ni	adj	c4
be	aba	do	bm	xf	au	c2
is	aeb	ake	abn	t	dx	c5
afq	xn	aht	ady	pi	jn	c4
rt	ng	aav	um	ie	acj	c3
aat	xn	hg	mn	aau	hf	c4
agf	xn	hb	ly	bz	acz	c4
lc	ng	fg	pd	ea	ve	c3
pt	aba	fq	yf	ahp	ct	c2
rc	ace	ahp	ik	zf	yw	c1
ug	xn	pw	hm	agq	akd	c4
ads	ng	cj	vu	all	nc	c3
ahl	aeb	np	ahz	akh	vt	c5
lx	aeb	ako	aab	po	yk	c5
qp	ng	ja	zx	ei	nf	c3
vl	ace	aaz	nb	jl	ahb	c1
cx	aba	vc	ph	ly	wh	c2
za	ng	ru	lf	vp	vn	c3
kz	aeb	aeu	li	qh	g	c5
abn	xn	acv	ll	ne	akr	c4
wa	xn	wl	aik	lu	og	c4
rj	ace	mp	so	va	akt	c1
qs	ace	nz	ul	sa	ajn	c1
adi	ng	bn	agn	ail	xm	c3
pr	ace	mc	va	dt	alb	c1
mi	xn	sm	ajv	dk	aha	c4
rl	aba	xl	ags	mn	dg	c2
ml	aeb	rh	jk	pr	ajj	c5
ty	xn	acn	abc	ahe	afv	c4
xv	ng	kk	m	nx	jx	c3
qu	ng	ha	ke	cy	ft	c3
zf	ng	zz	yk	hq	aed	c3
xl	ng	afn	s	afh	ma	c3
fa	ng	aez	ly	cc	mx	c3
rm	ace	ald	zp	fh	a	c1
pu	ng	abd	ly	rk	ra	c3
lv	ng	yq	um	agy	lu	c3
xm	xn	wm	kk	iv	yi	c4
ahp	ng	afm	by	eh	bz	c3
ed	ace	ii	qz	bl	np	c1
aem	ace	ajb	dq	px	hu	c1
w	ace	afk	ob	adw	wk	c1
yz	aeb	jr	akx	gb	afl	c5
nb	aeb	th	xb	ic	ajz	c5
la	ace	afu	fz	ck	fp	c1
dh	ng	p	yh	jk	cl	c3
xf	ng	ais	abm	yi	aio	c3
yp	ace	yd	de	uk	za	c1
ga	aba	ada	aff	iv	wz	c2
ue	aba	qq	agj	sq	jg	c2
fk	aba	zz	rl	gr	ael	c2
cr	aeb	ade	jz	ho	aeo	c5
ae	aeb	yc	lh	te	acq	c5
oe	ng	mw	abm	acv	xr	c3
he	aba	qt	gr	nu	qd	c2
py	xn	ahu	sq	pr	xj	c4
wn	xn	qe	kg	adi	ail	c4
np	aba	df	fr	hu	nt	c2
ip	aba	px	qy	ry	rz	c2
nm	aeb	jr	rq	at	bq	c5
adc	ng	le	aia	tf	co	c3
ie	aeb	kd	fa	ja	afr	c5
so	ng	hm	aax	wl	id	c3
akt	ng	n	ch	gs	akm	c3
ako	xn	qn	wm	akt	adu	c4
ut	aeb	uh	adm	j	ho	c5
kb	ace	tf	bh	c	uw	c1
uu	ace	km	kw	uq	f	c1
adt	xn	wm	ow	ale	jz	c4
ej	aba	aq	iw	ji	eo	c2
sj	ace	aip	mm	ly	op	c1
pw	xn	jo	dx	hy	hg	c4
